Geneid	Chr	Start	End	Strand	Length	SYMBOL
ENSG00000005961	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	42449548;42451292;42453201;42453453;42453676;42454377;42455066;42455730;42456011;42457057;42457370;42457614;42457754;42457968;42460861;42461132;42461679;42462316;42462532;42462919;42463192;42463378;42466654	42449791;42453084;42453353;42453552;42453756;42454456;42455158;42455877;42456078;42457182;42457521;42457669;42457858;42458429;42461072;42461506;42461953;42462444;42462731;42463177;42463289;42463499;42466873	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5551	ITGA2B
ENSG00000006074	17;17;17	34391640;34397734;34398311	34391769;34397918;34399392	+;+;+	1397	CCL18
ENSG00000006453	7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7	97920963;97923386;97933508;97935751;97937001;97937616;97939757;97941409;97944772;97946531;97949370;97949549;97984353;97991669;98029293;98030114	97922908;97923423;97933688;97936269;97937208;97937694;97939904;97941576;97944924;97946668;97949441;97949610;97984738;97991744;98029649;98030380	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4798	BAIAP2L1
ENSG00000006468	7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7	13930853;13939998;13945823;13947418;13949257;13950864;13971127;13975333;13978742;13998382;14014489;14017052;14024980;14025741;14026263;14026596;14027711;14028305;14028633;14028893;14030036;14030178;14030747;14030953	13935712;13940464;13946224;13947481;13949325;13950932;13971374;13975521;13978871;13998665;14014711;14017105;14025145;14026139;14026310;14026650;14028138;14028498;14028764;14029642;14030114;14030327;14030874;14031050	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9686	ETV1
ENSG00000007312	17;17;17;17;17;17	62006100;62006794;62007130;62007434;62008320;62009251	62006684;62006835;62007248;62007874;62008748;62009714	-;-;-;-;-;-	2080	CD79B
ENSG00000007350	X;X;X;X;X;X;X;X;X;X;X;X;X;X	153524024;153533275;153537697;153539187;153539462;153540931;153543523;153548651;153549104;153551553;153553685;153555530;153556185;153557866	153524346;153533773;153537794;153539378;153539589;153541124;153543687;153548870;153549260;153551683;153553768;153556033;153556304;153558700	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3650	TKTL1
ENSG00000007908	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	169691781;169694870;169695048;169695840;169696490;169696880;169697199;169698327;169698629;169699573;169700632;169701756;169702717;169703112;169733524	169693650;169694942;169695069;169695947;169696666;169697068;169697387;169698515;169698814;169699758;169701083;169702139;169702801;169703264;169733846	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4586	SELE
ENSG00000008517	16;16;16;16	3115298;3117378;3118991;3131634	3115827;3118666;3119820;3131908	+;+;+;+	2924	IL32
ENSG00000009790	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	209929377;209931843;209932379;209933327;209935860;209936158;209936413;209936708;209936837;209941833;209946293;209948635;209951712;209954184;209955401	209929654;209932199;209932479;209933729;209936007;209936215;209936437;209936737;209936932;209942005;209946364;209951518;209953951;209954803;209955668	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7753	TRAF3IP3
ENSG00000010319	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3	52467069;52471543;52471987;52472936;52473696;52473883;52474393;52474770;52474950;52475280;52475590;52475835;52476201;52476575;52476763;52477032;52478929	52470089;52471682;52472215;52472977;52473787;52474114;52474537;52474839;52475064;52475425;52475706;52475925;52476320;52476637;52476923;52477085;52479101	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5011	SEMA3G
ENSG00000011426	7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7	36429415;36429780;36429844;36435875;36438688;36443102;36445790;36447327;36450123;36450668;36455367;36456689;36458853;36459778;36460206;36461466;36462242;36463426;36464154;36464295;36465311;36465624;36466525;36467916;36478813;36483364;36488548;36492086	36429653;36429820;36430150;36436030;36439002;36443175;36446179;36447565;36450313;36450775;36455494;36456799;36459088;36459923;36460353;36461601;36462418;36463552;36464202;36464351;36465349;36465645;36466637;36467969;36478899;36483471;36489446;36493400	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6012	ANLN
ENSG00000011465	12;12;12;12;12;12;12;12;12;12;12;12;12;12;12	91539025;91544560;91546873;91550852;91552073;91558382;91563411;91565919;91568895;91572119;91572976;91573964;91574225;91576351;91576432	91540029;91545569;91546966;91550965;91552286;91558494;91563674;91566645;91571402;91572362;91573509;91574142;91574753;91576429;91576900	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8083	DCN
ENSG00000011600	19;19;19	36395303;36398120;36399070	36395536;36398664;36399197	-;-;-	907	TYROBP
ENSG00000012124	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	35810164;35819567;35820069;35820270;35821476;35822809;35826939;35828658;35829071;35831784;35835634;35835954;35836505;35837054;35837469	35810335;35819753;35820228;35820831;35821563;35823993;35827244;35828924;35829334;35832868;35835828;35836327;35836623;35837138;35838258	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5839	CD22
ENSG00000012779	10;10;10;10;10;10;10;10;10;10;10;10;10;10	45869661;45877931;45891303;45907639;45919489;45920408;45923809;45924066;45935878;45936792;45938061;45938690;45939176;45940956	45869877;45878129;45891384;45907761;45919595;45920580;45923934;45924212;45936081;45937033;45938664;45938985;45939734;45941561	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3685	ALOX5
ENSG00000013016	2;2;2;2;2;2	31456880;31467140;31472237;31483376;31484415;31489043	31457714;31467316;31472334;31483788;31484579;31492313	+;+;+;+;+;+	4959	EHD3
ENSG00000013297	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3	170136653;170139006;170140951;170150312;170152633;170155039;170172078;170178087;170185070;170194559;170220600;170425833;170443349;170447145;170472178;170577772	170137080;170139125;170141530;170151887;170152751;170155503;170172521;170178200;170185184;170194661;170220798;170425983;170443408;170447484;170472997;170578169	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6032	CLDN11
ENSG00000014257	3;3;3;3;3;3;3;3;3;3;3;3	132036211;132047111;132050491;132051036;132052250;132056196;132061396;132063771;132068764;132071564;132075530;132086548	132036420;132047206;132050577;132051470;132052336;132056398;132061488;132063903;132068846;132071667;132077596;132087142	+;+;+;+;+;+;+;+;+;+;+;+	4193	ACPP
ENSG00000015133	14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14	91737667;91744266;91745582;91747506;91747801;91749673;91751739;91755076;91757339;91760517;91763649;91766271;91770045;91772109;91773382;91774695;91776203;91779424;91781994;91787464;91791123;91792254;91804349;91804833;91805206;91806228;91808487;91809943;91825986;91844985;91850734;91874474;91883082;91883505;91883975	91739997;91744555;91746321;91747652;91747869;91749967;91752180;91755687;91757428;91760662;91763835;91766414;91770322;91772270;91773570;91774836;91776330;91780494;91782214;91787648;91791267;91792400;91804507;91805200;91805806;91806368;91808807;91810001;91826055;91846229;91850895;91875111;91883182;91883690;91884188	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	12426	CCDC88C
ENSG00000015568	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	110550335;110551742;110552262;110559360;110560889;110561556;110565751;110566327;110571037;110576755;110579482;110581799;110582064;110582387;110583453;110583878;110584278;110585369;110585642;110588894;110590428;110592574;110593396;110596511;110597954;110605387;110613439	110550566;110552114;110552653;110559427;110561120;110562132;110565981;110566472;110571348;110577360;110579691;110581980;110582239;110582530;110583611;110584015;110584424;110585548;110585725;110589029;110590596;110592668;110595619;110596570;110602819;110605588;110615272	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	14175	RGPD5
ENSG00000018280	2;2;2;2;2;2;2;2;2;2	219246752;219247683;219251358;219252288;219254593;219255921;219256099;219256838;219258843;219259648	219247098;219250297;219251953;219253108;219254751;219256010;219256494;219257853;219259508;219261617	+;+;+;+;+;+;+;+;+;+	8676	SLC11A1
ENSG00000018408	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3	149235022;149243592;149245623;149258003;149258802;149260122;149290651;149293821;149374663;149375291;149387575;149388555;149419392;149420911;149435229;149441867;149442489;149443259;149454339	149238776;149243912;149245756;149258053;149258847;149260324;149290787;149294039;149375222;149375888;149387678;149388696;149420745;149421115;149435353;149442002;149442575;149443331;149454501	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8413	WWTR1
ENSG00000018625	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	160085549;160090696;160093003;160093733;160094086;160094926;160097342;160098442;160098770;160099056;160099892;160100212;160104274;160104935;160105224;160105629;160106037;160106360;160106691;160109430;160109683;160110441;160111084	160085663;160091065;160093206;160093846;160094220;160095332;160097610;160098640;160098879;160099190;160100081;160100387;160104410;160105085;160105392;160105783;160106160;160106505;160106992;160109531;160109848;160110564;160113381	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6298	ATP1A2
ENSG00000019549	8;8;8;8	49830249;49832455;49833746;49834206	49831547;49833000;49834088;49834299	-;-;-;-	2282	SNAI2
ENSG00000019582	5;5;5;5;5;5;5;5	149781200;149782684;149784049;149784648;149784879;149785541;149786268;149792188	149782188;149782875;149784330;149784743;149785234;149785884;149786887;149792492	-;-;-;-;-;-;-;-	3184	CD74
ENSG00000020633	1;1;1;1;1;1;1;1;1	25226002;25233750;25245731;25254065;25255234;25255531;25256078;25291005;25291511	25229157;25233908;25245835;25254221;25255289;25255612;25256368;25291501;25291612	-;-;-;-;-;-;-;-;-	4605	RUNX3
ENSG00000021645	14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14	78708734;78744986;78764174;78767023;78870074;79068763;79081275;79111463;79115611;79117508;79164563;79174840;79175560;79181099;79269963;79276661;79423585;79432368;79433551;79434516;79454365;79745682;79747196;79748085;79765138;79780394;79933564;80036866;80039187;80130121;80158516;80163973;80271455;80319882;80327382	78710145;78745005;78764203;78767034;78870221;79068832;79081375;79111770;79115634;79117669;79164632;79174895;79175998;79181482;79270166;79276687;79423704;79432749;79433741;79434689;79454642;79746881;79747207;79748248;79765251;79780492;79933745;80036931;80039354;80130292;80158605;80164280;80271542;80320560;80330762	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	11335	NRXN3
ENSG00000023445	11;11;11;11;11;11;11;11;11;11;11;11	102188215;102190608;102191017;102192568;102196197;102197460;102198783;102199628;102201730;102206697;102207252;102207640	102188302;102190737;102191131;102196093;102196296;102197582;102198861;102199676;102201972;102206951;102207532;102210134	+;+;+;+;+;+;+;+;+;+;+;+	7484	BIRC3
ENSG00000024526	1;1;1;1;1;1;1;1;1;1;1;1	68939835;68943470;68944827;68947123;68948956;68949633;68952620;68954057;68954599;68955135;68960113;68962635	68942752;68943655;68945003;68948580;68948988;68949773;68952667;68954187;68954717;68955291;68960378;68962904	-;-;-;-;-;-;-;-;-;-;-;-	5904	DEPDC1
ENSG00000025039	6;6;6;6;6;6;6;6	90074355;90082156;90087390;90088943;90089887;90097014;90121053;90121565	90077926;90082304;90087532;90089057;90090086;90097309;90121224;90121989	-;-;-;-;-;-;-;-	5072	RRAGD
ENSG00000025434	11;11;11;11;11;11;11;11;11;11;11	47269851;47270190;47270467;47272017;47279155;47279468;47280912;47281948;47282792;47289464;47290101	47269906;47270415;47270550;47272102;47279286;47280810;47281530;47282229;47283570;47289906;47290396	+;+;+;+;+;+;+;+;+;+;+	4346	NR1H3
ENSG00000026751	1;1;1;1;1;1	160709037;160709302;160717984;160719611;160720094;160722896	160709146;160709540;160718304;160719883;160722038;160724611	+;+;+;+;+;+	4604	SLAMF7
ENSG00000027869	1;1;1;1;1;1;1;1;1	156776035;156776967;156778995;156779453;156783640;156783997;156784290;156785798;156786467	156776365;156777137;156779282;156779599;156783903;156784116;156785203;156785886;156786654	-;-;-;-;-;-;-;-;-	2512	SH2D2A
ENSG00000029534	8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8	41510739;41518507;41521177;41522323;41523051;41525785;41529872;41542062;41543670;41545674;41546029;41547745;41547992;41550164;41550623;41551416;41552110;41552695;41553881;41554194;41555245;41555561;41556970;41557949;41559068;41559570;41561559;41561892;41563661;41566296;41571674;41572494;41573170;41574471;41575122;41575624;41577179;41580643;41581053;41581974;41583279;41584768;41585426;41591489;41615554;41646400;41655030;41753873	41513272;41519459;41521260;41522804;41523348;41526082;41530430;41542208;41543801;41545748;41546107;41547864;41548117;41550394;41550719;41551620;41552321;41552849;41554105;41554291;41555364;41555639;41557066;41557972;41559140;41559662;41561657;41561990;41563759;41566493;41571772;41572592;41573367;41574569;41575220;41575722;41577376;41580741;41581151;41582072;41583464;41584866;41585524;41591587;41615655;41646815;41655140;41754280	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	10799	ANK1
ENSG00000029559	4;4;4;4;4;4;4	88720733;88723500;88723660;88723806;88727274;88731758;88732514	88720785;88723567;88723710;88723883;88727336;88731916;88733074	+;+;+;+;+;+;+	1033	IBSP
ENSG00000035499	5;5;5;5;5;5;5;5;5;5;5;5;5;5	59892739;59894902;59899218;59901511;59924041;59934577;59938639;59940572;59941319;59943225;59982789;59983552;59984812;59995873	59893741;59895087;59899394;59901683;59924518;59934717;59938686;59940702;59941446;59943974;59983054;59983665;59984877;59996017	-;-;-;-;-;-;-;-;-;-;-;-;-;-	3806	DEPDC1B
ENSG00000035720	4;4;4;4;4;4;4;4;4;4	68424446;68436802;68441103;68442921;68447023;68449292;68456602;68458978;68472014;68472912	68424647;68436873;68441216;68442977;68447189;68449420;68456671;68459074;68472616;68473055	+;+;+;+;+;+;+;+;+;+	1655	STAP1
ENSG00000036448	8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8	1993155;1998869;2000276;2005466;2005741;2007274;2017397;2017566;2020425;2021419;2024221;2026815;2027641;2029921;2033132;2033395;2037831;2040174;2041797;2044087;2045875;2046687;2048234;2048666;2049793;2050457;2054032;2054281;2056577;2057078;2063752;2064010;2065674;2066654;2067047;2071125;2071428;2072052;2075723;2077115;2088646;2089064;2090300;2091273;2092588;2113076	1993283;1998987;2000431;2005604;2005898;2007366;2017485;2017616;2020589;2021580;2024362;2027014;2027694;2030315;2033153;2033522;2038014;2040348;2041918;2044274;2045941;2046813;2048289;2048844;2050052;2050571;2054188;2054387;2056621;2057322;2063896;2064069;2065741;2067000;2067240;2071238;2071515;2072090;2075869;2077220;2088809;2089100;2090322;2091380;2093380;2113475	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7062	MYOM2
ENSG00000037042	17;17;17;17;17;17;17;17;17;17	40811323;40812167;40812657;40814991;40815395;40817494;40817696;40818105;40818341;40818621	40811964;40812380;40813409;40815070;40815521;40817580;40817845;40818257;40818502;40819024	+;+;+;+;+;+;+;+;+;+	2772	TUBG2
ENSG00000038427	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	82767284;82779332;82785917;82789365;82789623;82807921;82815168;82831433;82840784;82841356;82843790;82849181;82850775;82868235;82875799	82767842;82779423;82786291;82789539;82789750;82808759;82818128;82838087;82840889;82841469;82843903;82849341;82850857;82868379;82878122	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	14831	VCAN
ENSG00000038945	8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8	15965387;15977927;15978398;15996828;16001067;16007740;16012573;16021574;16025967;16032696;16035395;16043668;16050107;16072322;16072511;16107907;16113753;16122682;16225595;16240788;16325261;16353302;16355383;16369356;16423044;16424759;16424901	15967727;15978115;15978689;15998608;16001120;16007820;16012653;16021760;16026379;16032809;16035501;16043781;16050300;16072403;16072583;16108001;16113919;16122840;16225947;16240837;16325545;16353455;16355493;16369425;16423096;16424871;16424999	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7812	MSR1
ENSG00000039068	16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16	68771128;68772200;68797197;68799023;68804851;68835573;68842327;68842596;68844100;68845587;68845986;68847216;68849418;68853183;68855904;68857148;68862077;68863557;68867193	68771366;68772314;68797430;68799467;68805008;68835796;68842470;68842906;68844244;68845762;68846166;68847465;68849662;68853328;68856128;68857529;68862207;68863700;68869451	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6154	CDH1
ENSG00000039319	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	79703832;79705511;79707465;79723311;79729928;79731581;79732575;79735755;79736992;79738868;79739613;79741080;79743845;79745410;79746250;79747304;79749808;79752764;79755233;79768580;79769573;79770482;79773038	79703972;79706159;79707592;79723364;79730036;79731673;79734826;79736195;79737068;79739103;79739739;79741224;79744223;79745532;79746405;79748279;79752384;79752911;79755313;79768742;79769678;79770649;79775169	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	11461	ZFYVE16
ENSG00000041353	18;18;18;18;18;18;18;18	52385091;52385298;52495430;52544798;52546600;52551564;52555226;52556455	52385166;52385372;52495931;52544969;52546685;52551667;52555349;52562747	+;+;+;+;+;+;+;+	7432	RAB27B
ENSG00000041982	9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9	117782806;117786252;117788813;117791639;117792533;117793832;117797483;117797938;117798377;117800540;117803220;117804498;117808689;117810539;117815019;117817755;117819432;117822009;117825196;117826075;117826926;117835882;117838311;117838669;117840222;117844051;117844971;117846488;117848143;117852841;117874890;117877282;117880261	117783546;117786415;117788974;117791735;117792684;117793964;117797613;117798175;117798520;117800659;117803363;117804620;117808961;117810811;117815294;117818028;117819704;117822281;117825468;117826347;117827198;117836145;117838400;117838854;117840491;117844207;117845086;117846751;117849552;117853433;117875036;117877385;117880536	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8687	TNC
ENSG00000042062	20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20	49202645;49204339;49206223;49208881;49209572;49211090;49211906;49212677;49213515;49218609;49221182;49224926;49225150;49225449;49225830;49226110;49227390;49227718;49232539;49236523;49247275;49253118;49307663	49203869;49204429;49206549;49209083;49209733;49211729;49212041;49212800;49214247;49219181;49221311;49225071;49225275;49225492;49225893;49226259;49227443;49227741;49232617;49236669;49247393;49253426;49308065	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6009	FAM65C
ENSG00000042980	8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8	24151553;24157356;24166154;24167407;24167676;24168874;24170901;24177749;24178731;24178828;24180121;24181347;24182550;24184067;24187498;24188663;24190173;24192959;24196979;24198382;24200473;24201019;24204461;24207377;24208745;24209500;24211283;24211897	24151708;24157590;24166281;24167483;24167885;24168950;24171093;24177820;24178802;24178961;24180174;24181516;24182602;24184148;24187628;24188840;24190262;24193633;24197081;24199270;24200694;24201101;24204545;24207485;24209053;24209565;24211345;24216531	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9351	ADAM28
ENSG00000043462	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	169673241;169677734;169679438;169680123;169683530;169685041;169685870;169688111;169689639;169689846;169689971;169693812;169694013;169695389;169697504;169700785;169702324;169702629;169714721;169720314;169724538	169675823;169678696;169679515;169680217;169683579;169685502;169685882;169688141;169689746;169689865;169689996;169693895;169694331;169695486;169697921;169701342;169702355;169702864;169715020;169720376;169725231	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7231	LCP2
ENSG00000043591	10	115803806	115806667	+	2862	ADRB1
ENSG00000046651	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	13752832;13753367;13754227;13754597;13756813;13757121;13758208;13762534;13764438;13764899;13767546;13769368;13770823;13773270;13774697;13775779;13776456;13778234;13779204;13780463;13781864;13785246;13786024;13786837;13787185	13753202;13753465;13754415;13754797;13757033;13757433;13758332;13762638;13764574;13765072;13767652;13769487;13771560;13773361;13774886;13775909;13776567;13778839;13779330;13780563;13781974;13785403;13786343;13786904;13787480	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5212	OFD1
ENSG00000046653	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	13789150;13794286;13795471;13797937;13799034;13801484;13801898;13803741;13825769;13830990;13834963;13907100;13907571;13956446;13956626	13792743;13794422;13795544;13798108;13799124;13801640;13802040;13803927;13825888;13831027;13835465;13907176;13907731;13956534;13956757	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5675	GPM6B
ENSG00000047597	X;X;X	37545012;37553539;37586889	37545459;37553801;37591383	+;+;+	5206	XK
ENSG00000047648	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	11136239;11138115;11155663;11160353;11163192;11166750;11174649;11187276;11196220;11197422;11200183;11204356;11206848;11215045;11272668;11283806;11308503;11369506;11445668;11682361	11136479;11138165;11157650;11162368;11163241;11166839;11174746;11187804;11196368;11197572;11200238;11204551;11207104;11215116;11272827;11284124;11308598;11369656;11445893;11683821	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8357	ARHGAP6
ENSG00000048462	16;16;16;16	12058964;12060052;12060877;12061427	12059311;12060198;12061000;12061925	+;+;+;+	1118	TNFRSF17
ENSG00000048540	12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12	16701307;16713347;16747071;16750550;16754789;16757526;16757799;16758559;16759000;16759684;16759751;16760225;16760595;16760870;16761478;16762668;16763423	16704261;16713472;16747268;16753802;16755227;16757783;16758313;16758904;16759465;16759734;16760119;16760323;16760858;16761148;16761660;16763028;16763528	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	10268	LMO3
ENSG00000048740	10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10	11047259;11059893;11206993;11207447;11259388;11291116;11299701;11308561;11312629;11317020;11330381;11356102;11362820;11363152;11367799;11370889	11047403;11060126;11207280;11207645;11259470;11291164;11299835;11308640;11312787;11317083;11330515;11356233;11362861;11363349;11367942;11378674	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9873	CELF2
