Geneid	Chr	Start	End	Strand	Length	SYMBOL
ENSG00000064886	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	111743393;111768566;111769638;111770108;111772314;111773364;111773860;111777529;111778261;111778646;111781372;111781928;111783949;111784849;111785839	111744007;111768650;111769754;111770391;111772503;111773736;111774094;111777679;111778385;111778775;111781554;111781985;111784065;111785256;111786062	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3295	CHI3L2
ENSG00000065357	12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12	56321103;56322039;56324212;56324756;56325237;56325573;56326345;56327289;56329089;56331192;56331762;56333199;56335294;56335782;56337081;56345407;56346824;56346988	56321403;56322118;56324427;56325128;56325280;56326039;56326693;56327392;56330874;56331341;56333089;56335110;56335368;56336432;56337204;56346716;56346944;56347811	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10215	DGKA
ENSG00000068831	11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11	64494383;64496335;64497234;64497525;64502584;64502846;64504225;64506832;64507108;64507485;64508911;64509482;64509983;64512214;64512405;64512747	64494835;64496514;64497270;64497666;64502738;64503452;64504726;64506948;64507281;64508551;64509005;64509584;64512061;64512339;64512469;64512928	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6084	RASGRP2
ENSG00000069493	12;12;12;12;12;12;12;12;12	9817565;9821233;9822309;9826604;9832786;9833519;9840497;9845424;9847356	9817708;9821391;9822391;9826806;9832847;9833646;9840757;9846544;9848413	+;+;+;+;+;+;+;+;+	3219	CLEC2D
ENSG00000071575	2;2;2;2	12857015;12863386;12864755;12880452	12858703;12863678;12864951;12882860	+;+;+;+	4588	TRIB2
ENSG00000072134	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	19118928;19122455;19122947;19124761;19125562;19140389;19140654;19151707;19152684;19161233;19174862;19176447;19177364;19179710;19183171;19185268;19188933;19213198;19215365;19216225;19216418;19232024;19232395;19233927;19235166;19237269	19119122;19122788;19123786;19124815;19125840;19140438;19140844;19151774;19152839;19161315;19175051;19176588;19177701;19179851;19183293;19187027;19189103;19213310;19215457;19216333;19217047;19232200;19232960;19233989;19235381;19240028	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9844	EPN2
ENSG00000072694	1;1;1;1;1;1;1;1	161551101;161558212;161632937;161640042;161641182;161643254;161643750;161647266	161551339;161558232;161633143;161640062;161643019;161643338;161647155;161648444	+;+;+;+;+;+;+;+	6996	FCGR2B
ENSG00000072818	17;17;17;17;17;17;17;17;17;17;17;17;17;17	7239848;7240582;7245267;7245514;7245735;7246254;7247025;7247180;7247368;7247858;7248650;7253636;7254184;7254614	7240106;7240688;7245386;7245647;7246072;7246881;7247069;7247275;7247442;7247967;7253556;7253918;7254318;7254797	+;+;+;+;+;+;+;+;+;+;+;+;+;+	7421	ACAP1
ENSG00000073803	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3	185000729;185003181;185009401;185046412;185080908;185146285;185155235;185161233;185165577;185167688;185169075;185181338;185183535;185184614;185190763;185195114;185198020;185200143	185000907;185003431;185010867;185047051;185081156;185146844;185155418;185161495;185165735;185167846;185169322;185181447;185183651;185184751;185191549;185195184;185198317;185206885	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12623	MAP3K13
ENSG00000073861	17;17;17;17;17;17	45810610;45819976;45820437;45821561;45821848;45822114	45811311;45820172;45820558;45821719;45821909;45823485	+;+;+;+;+;+	2614	TBX21
ENSG00000074771	6;6;6;6;6;6;6;6;6;6;6;6;6;6	155716504;155717943;155728264;155732348;155743828;155749928;155751977;155757552;155761090;155764407;155774538;155775945;155776168;155776887	155716708;155718096;155728388;155732494;155743990;155750181;155752069;155757681;155761271;155764552;155774622;155776055;155776263;155777037	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2042	NOX3
ENSG00000074803	15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15	48483861;48498498;48499731;48512831;48513118;48513536;48514525;48522590;48524922;48527074;48529184;48533712;48536950;48539106;48539534;48541772;48543812;48548008;48551397;48559758;48561855;48566768;48577303;48580240;48580602;48583975;48591337;48593512;48594947	48484050;48498527;48500336;48512962;48513193;48513642;48521525;48522700;48525035;48527541;48529546;48533796;48537101;48539213;48539657;48541873;48543967;48548107;48551508;48559898;48561961;48566850;48577446;48580371;48580713;48584061;48591472;48593579;48596275	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12476	SLC12A1
ENSG00000074966	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	48068410;48073534;48075952;48078419;48081929;48088483;48091402;48096094;48097160;48106918;48112555;48114324;48115224;48116365;48136172	48069722;48073691;48076070;48078483;48082195;48088654;48091841;48096221;48097239;48106972;48112620;48114529;48115326;48116562;48136273	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3472	TXK
ENSG00000075234	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	46663858;46664411;46665039;46668232;46669795;46671145;46674483;46675966;46677496;46677868;46679870;46681138;46682970;46684320;46685299;46685723;46688100;46688688	46663969;46664824;46665186;46668313;46669966;46671318;46674558;46676139;46677615;46678048;46679929;46681176;46683051;46684485;46685458;46685796;46688225;46689905	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3578	TTC38
ENSG00000075826	10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10	102246399;102248615;102250463;102254602;102256015;102256892;102257272;102257786;102258462;102258917;102259174;102259867;102261411;102262011;102265118;102266078;102267182;102267665;102268218;102268764;102269073;102275853;102276631;102279539;102286732;102289137;102289524	102247855;102250313;102250640;102255303;102256188;102257037;102257550;102258088;102258561;102259015;102259355;102259916;102261467;102262241;102265958;102266228;102267324;102267808;102268550;102268859;102269268;102275976;102276800;102279711;102286831;102289263;102289628	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8360	SEC31B
ENSG00000076604	17;17;17;17;17;17;17	27071002;27071719;27072314;27073761;27075280;27075529;27075963	27071273;27071975;27072536;27075196;27075441;27075760;27077974	+;+;+;+;+;+;+	4594	TRAF4
ENSG00000076716	X;X;X;X;X;X;X;X;X;X	132434131;132437194;132438753;132439800;132440052;132445286;132458173;132473211;132548491;132548834	132437097;132437369;132438889;132439946;132440182;132445451;132458564;132473369;132548587;132549518	-;-;-;-;-;-;-;-;-;-	5057	GPC4
ENSG00000077238	16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16	27324989;27325234;27326718;27329956;27341387;27345637;27351504;27352391;27353352;27356190;27356506;27357788;27363861;27365404;27366341;27366669;27370237;27372087;27372261;27373573	27325138;27325552;27326887;27330088;27341519;27345738;27351594;27352634;27353580;27356411;27356923;27357939;27364017;27365483;27366534;27367228;27370315;27372136;27372341;27376099	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6091	IL4R
ENSG00000077498	11;11;11;11;11;11;11	88910620;88924370;88933431;88960991;89016935;89017941;89028311	88911940;88924586;88933779;88961138;89017116;89018122;89028927	+;+;+;+;+;+;+	3016	TYR
ENSG00000077984	20;20;20;20	24929866;24937923;24939564;24940271	24930211;24938095;24939680;24940564	+;+;+;+	930	CST7
ENSG00000078081	3;3;3;3;3;3;3;3;3;3	182840001;182853505;182858326;182870163;182871470;182875901;182878645;182879709;182880395;182881408	182842002;182853675;182858383;182870291;182872179;182875920;182878750;182879803;182880699;182881627	-;-;-;-;-;-;-;-;-;-	3816	LAMP3
ENSG00000078589	X;X;X;X	78200829;78203312;78207690;78216005	78200992;78203360;78207832;78217451	+;+;+;+	1803	P2RY10
ENSG00000078795	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	137223657;137225125;137225653;137226170;137228169;137230042;137235205;137241895;137243431;137244454;137257325;137259109;137260729;137261564;137271486;137272009;137275485;137278073	137224883;137225211;137226078;137226271;137228302;137230298;137235426;137242123;137243601;137244635;137257445;137259210;137260793;137261618;137271598;137272116;137276173;137278436	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4654	PKD2L2
ENSG00000079263	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	231067826;231068340;231078369;231078674;231090445;231095126;231099653;231101798;231102928;231103476;231106119;231108446;231109703;231110578;231112631;231113600;231115696;231118031;231120167;231134247;231134552;231135301;231149061;231150467;231152607;231155175;231157361;231158986;231162136;231174639;231175458;231175869;231177301;231222520;231223679	231067995;231068409;231078484;231078874;231090618;231095243;231099790;231102329;231103234;231103802;231106202;231108526;231109795;231110655;231112780;231113683;231115776;231118132;231120247;231134333;231134668;231135354;231149126;231150547;231152812;231155279;231157503;231159033;231162177;231175103;231175566;231176310;231177930;231222682;231223762	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5829	SP140
ENSG00000081059	5;5;5;5;5;5;5;5;5;5;5;5	133450402;133450892;133451254;133459309;133473556;133474292;133476226;133476712;133477155;133478412;133479283;133487347	133450846;133451078;133451777;133459447;133473928;133475549;133476579;133477041;133477995;133479168;133483927;133487556	+;+;+;+;+;+;+;+;+;+;+;+	10063	TCF7
ENSG00000081985	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	67773047;67779596;67786016;67787285;67792418;67793883;67795270;67796343;67804307;67816553;67833508;67838119;67838308;67845611;67852262;67855712;67861230	67773650;67779683;67786127;67787572;67792532;67794067;67795412;67796493;67804433;67816772;67833708;67838217;67838466;67845806;67852352;67855811;67862583	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4233	IL12RB2
ENSG00000083454	17;17;17;17;17;17;17;17;17;17;17;17;17;17	3575493;3576521;3579473;3582884;3585190;3588814;3591306;3591920;3592786;3593364;3593899;3594250;3594938;3599163	3575787;3577171;3579620;3583078;3586165;3588874;3591399;3592053;3592924;3593817;3593974;3594321;3595296;3599698	-;-;-;-;-;-;-;-;-;-;-;-;-;-	4190	P2RX5
ENSG00000083812	19;19;19;19	58978423;58980547;58981095;58982098	58979125;58980673;58981211;58984945	+;+;+;+	3795	ZNF324
ENSG00000084110	12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12	96366440;96369881;96370376;96371722;96374334;96374576;96377460;96379686;96379843;96380845;96381971;96383341;96384067;96386458;96387229;96387422;96387550;96387704;96387868;96388576;96388711;96389442;96389856	96368150;96370276;96370484;96371856;96374499;96374641;96377769;96379745;96379938;96380992;96382018;96383675;96384310;96386583;96387266;96387452;96387616;96387776;96387942;96388603;96388978;96389769;96390143	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5146	HAL
ENSG00000085265	9;9;9;9;9;9;9;9;9	137801431;137802979;137804332;137804862;137805427;137806231;137806602;137808194;137809615	137801891;137803113;137804461;137804989;137805459;137806266;137806655;137808307;137809809	-;-;-;-;-;-;-;-;-	1286	FCN1
ENSG00000085840	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	52838501;52840482;52841102;52847314;52849092;52849502;52850222;52850833;52851524;52854114;52854889;52859115;52861718;52863357;52867034;52867801;52869918	52839047;52840569;52841271;52847433;52849241;52849609;52850393;52850934;52851621;52854309;52854993;52859475;52862036;52863535;52867161;52867900;52870131	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3157	ORC1
ENSG00000086288	7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7	37888199;37888426;37889855;37889980;37890231;37896876;37901630;37902998;37903950;37905127;37907304;37916434;37923905;37924747;37927879;37934068;37936419;37939846	37888330;37888725;37889901;37890037;37890337;37896947;37901746;37903064;37904023;37905219;37907500;37916609;37924049;37924854;37928030;37934212;37936709;37940003	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2439	NME8
ENSG00000087085	7;7;7;7;7;7;7;7	100487615;100488790;100489955;100490786;100493423;100493680;100493761;100494174	100488709;100488959;100490439;100492009;100493541;100493753;100493902;100494594	-;-;-;-;-;-;-;-	3730	ACHE
ENSG00000088827	20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20	3667617;3671987;3672550;3673168;3673509;3674094;3674868;3675310;3677233;3677732;3678445;3679849;3681989;3683844;3684472;3686391;3686994;3687727	3670911;3672247;3672849;3673419;3673778;3674345;3675179;3675570;3677535;3677989;3678780;3680106;3682288;3684098;3684738;3686687;3687353;3687775	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7886	SIGLEC1
ENSG00000089012	20;20;20;20;20;20;20;20;20	1609798;1610868;1611060;1611341;1615913;1616834;1629698;1631870;1638288	1610282;1610952;1611289;1611482;1616245;1617151;1630054;1632023;1638425	-;-;-;-;-;-;-;-;-	2242	SIRPG
ENSG00000089692	12;12;12;12;12	6881678;6882863;6883761;6884439;6886430	6882505;6883167;6884030;6884899;6887621	+;+;+;+;+	3056	LAG3
ENSG00000090104	1;1;1	192544857;192545904;192548267	192545896;192548085;192549161	+;+;+	4117	RGS1
ENSG00000090554	19;19;19;19;19;19;19;19;19;19;19	49977464;49977818;49978931;49979366;49979680;49982166;49982947;49983555;49983809;49985132;49989221	49977538;49977929;49979058;49979455;49979987;49982304;49983002;49983733;49984838;49985648;49989488	+;+;+;+;+;+;+;+;+;+;+	2902	FLT3LG
ENSG00000090659	19;19;19;19;19;19	7804879;7808993;7809827;7810404;7811346;7812192	7808126;7809105;7809978;7810973;7811417;7812464	-;-;-;-;-;-	4428	CD209
ENSG00000091181	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3	3111233;3116466;3118215;3131655;3133488;3136983;3139554;3139821;3143376;3144359;3146587;3147152;3150234;3151595;3168244	3111995;3116550;3118311;3131940;3134046;3137128;3139741;3139974;3143514;3144504;3146671;3147220;3150375;3152058;3168297	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3377	IL5RA
ENSG00000092009	14;14;14;14;14	24974559;24975234;24975675;24976562;24977384	24974865;24975488;24975810;24976712;24977471	-;-;-;-;-	937	CMA1
ENSG00000093134	6;6;6;6;6;6;6	133043926;133045745;133047861;133049880;133051264;133052514;133054773	133045046;133046118;133048151;133050118;133051799;133052666;133055904	-;-;-;-;-;-;-	3846	VNN3
ENSG00000095464	10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10	95372345;95380389;95380648;95381689;95385332;95386397;95386562;95389015;95394515;95395254;95396752;95399827;95400207;95400677;95405717;95415517;95418658;95418861;95421813;95422317;95422785;95425117	95372962;95380541;95380737;95381829;95385406;95386461;95386628;95389062;95394664;95395397;95396820;95399973;95400314;95400786;95405804;95415617;95418765;95418924;95421890;95422400;95422935;95425767	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3310	PDE6C
ENSG00000095970	6;6;6;6;6	41126244;41126611;41127530;41129001;41130781	41126518;41126844;41127620;41129351;41130924	-;-;-;-;-	1095	TREM2
ENSG00000096006	6;6;6;6;6;6;6;6	49695097;49698876;49700908;49701416;49703217;49704104;49705038;49712044	49696570;49698964;49701005;49701561;49703304;49704220;49705165;49712150	-;-;-;-;-;-;-;-	2247	CRISP3
ENSG00000099985	22;22;22;22	30658818;30660991;30661548;30662755	30660453;30661133;30661807;30662829	-;-;-;-	2114	OSM
ENSG00000099998	22;22;22;22;22;22;22;22;22;22;22;22;22	24615622;24616460;24620964;24621213;24621514;24622044;24622599;24627352;24628019;24628791;24629466;24629842;24640521	24616084;24616552;24621074;24621382;24621620;24622234;24622735;24627498;24628176;24628986;24629561;24629972;24641110	-;-;-;-;-;-;-;-;-;-;-;-;-	2590	GGT5
ENSG00000100100	22;22;22;22;22;22	31677579;31685024;31685485;31686951;31687166;31688261	31679274;31685379;31686740;31687070;31687282;31688520	-;-;-;-;-;-	3805	PIK3IP1
ENSG00000100122	22;22;22;22;22;22	26995242;26997843;27003853;27008036;27012104;27013941	26995637;26997985;27003985;27008154;27012302;27014052	-;-;-;-;-;-	1102	CRYBB1
ENSG00000100150	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	32149944;32150040;32150838;32154513;32156642;32160961;32162571;32164800;32174085;32179893;32180800;32188019;32188673;32193586;32194568;32198690;32200148;32200828;32202108;32205597;32206507;32210978;32211402;32215008;32217488;32218679;32229835;32232834;32234671;32239081;32239631;32241004;32242820;32248902;32253431;32257354;32266576;32269158;32269960;32271184;32272143;32275511;32289568;32293468;32297728;32301970;32302191	32149982;32150150;32151497;32154619;32156688;32161046;32162654;32164849;32174154;32180244;32181093;32188088;32188803;32193689;32194642;32198824;32200209;32200901;32202177;32205633;32206627;32211198;32211974;32215211;32217623;32218776;32230243;32233308;32234831;32239198;32239798;32241223;32242953;32248978;32253539;32257419;32266730;32269318;32270391;32271429;32272251;32275738;32289737;32293639;32297788;32302052;32303012	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8587	DEPDC5
